pH reading for greenhouse experiment,,,,
,1:01,20g soil: 20 ml water,,
,,,,
treatment,replicate,pH,ave,SD
0-0,1,5.24,,
0-0,2,5.08,,
0-0,3,5.09,5.136666667,0.089628864
0-20,1,7.19,,
0-20,2,7.3,,
0-20,3,7.36,7.283333333,0.086216781
10-0,1,5.41,,
10-0,2,5.48,,
10-0,3,5.39,5.426666667,0.047258156
10-20,1,7.32,,
10-20,2,7.38,,
10-20,3,7.37,7.356666667,0.032145503
100-0,1,7.9,,
100-0,2,7.78,,
100-0,3,7.5,7.726666667,0.205264058
100-20,1,7.64,,
100-20,2,7.66,,
100-20,3,7.76,7.686666667,0.064291005
